Storkreds,Opstillingskreds,Kommune,Valgdistrikt_kode,Location,Persons18,Persons65,Age_Mean,Income_Mean,Grundskole,Gymnasial,Erhvervsfaglig,Kort_vider,Mellemlang_vider,Bachelor,Lang_vider,Uoplyst,with_children,without_children,A. Socialdemokratiet,B. Radikale Venstre,C. Det Konservative Folkeparti,D. Nye Borgerlige,E. Klaus Riskær Pedersen,F. SF - Socialistisk Folkeparti,I. Liberal Alliance,K. Kristendemokraterne,O. Dansk Folkeparti,P. Stram Kurs,"V. Venstre, Danmarks Liberale Parti",Ø. Enhedslisten - De Rød-Grønne,Å. Alternativet,Kandidater uden for partierne i alt
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,1,1. Østerbro,11087,1670,43.7,242235.4,13.06034094,18.17443853,13.77288717,3.950572743,16.89365924,7.36899071,25.02931361,1.74979706,7818,3269,1556,1862,581,118,76,1101,316,75,235,84,1752,1454,569,8
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,2,1. Nord,5820,1306,47.3,305614.4,15.13745704,15.68728522,16.64948454,3.865979381,15.6185567,6.340206186,24.75945017,1.941580756,4219,1601,761,911,422,78,32,512,153,41,194,72,1033,601,240,3
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,3,1. Syd,11093,1642,44.3,261054.6,11.95348418,17.1459479,12.45830704,3.840259623,16.81240422,7.581357613,28.84702064,1.361218787,7293,3800,1473,1930,557,115,64,1269,229,84,187,76,1580,1609,706,9
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,56,1. Øst,7105,942,43.4,307912.6,11.2033779,16.0591133,14.69387755,4.250527797,15.81984518,7.375087966,29.04996481,1.548205489,4961,2144,778,1190,590,68,61,556,306,36,127,59,1631,630,328,4
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,5,1. Vest,10772,2053,45.5,219570.1,16.92350538,16.94207204,18.51095433,4.223913851,15.72595618,6.21054586,19.64352024,1.81953212,7917,2855,1670,1420,455,149,67,1019,234,104,374,125,1252,1419,580,9
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,6,1. Nordvest,9673,1600,43.7,229678.6,15.67249044,17.81246769,17.8331438,4.217926186,15.08322134,6.419931769,21.3687584,1.592060374,7088,2585,1422,1443,424,108,91,920,229,52,315,101,1235,1095,533,13
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,7,2. Sundbyvester,9694,1986,47.1,223340.6,25.55188777,14.61728904,25.28368063,3.889003507,11.68764184,3.73426862,13.30720033,1.929028265,6729,2965,1676,1121,293,114,84,911,154,51,501,143,925,1160,406,15
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,8,2. Nord,12928,1736,41.8,192617.7,19.48483911,19.66274752,19.76330446,3.736076733,12.36076733,7.170482673,15.25371287,2.568069307,9740,3188,1839,1719,352,117,125,1330,268,71,412,139,1284,1927,730,23
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,9,2. Syd,8777,707,39.1,247216.7,15.3697163,19.51691922,18.58265922,5.730887547,13.09103338,5.776461205,19.28905093,2.643272189,5511,3266,1215,1380,408,120,80,802,418,49,272,114,1462,993,530,10
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,57,2. Øst,7530,1055,42.8,230220.5,18.49933599,21.87250996,19.42895086,3.413014608,11.77954847,6.135458167,16.82602922,2.045152722,4762,2768,1172,1066,226,80,62,820,126,52,321,78,787,1093,468,2
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,10,2. Vest,10303,1311,44.1,298050.6,10.91914976,13.01562652,16.90769679,4.862661361,16.78151995,6.425313016,29.48655731,1.601475298,6635,3668,1313,1639,552,140,78,1064,360,38,252,69,1837,1217,553,15
1. Københavns Storkreds,3. Indre By Opstillingskreds,101,11,3. Indre By,12980,1778,42.8,252176.5,17.403698,20.02311248,11.7642527,3.274268105,12.45762712,7.966101695,24.59938367,2.51155624,10017,2963,1176,2239,680,129,121,1197,349,40,174,91,1759,1938,870,21
1. Københavns Storkreds,3. Indre By Opstillingskreds,101,12,3. Nord,6289,1358,47.8,349562,11.46446176,15.66226745,11.65527111,3.211957386,16.36190173,6.471617109,33.12132294,2.051200509,4063,2226,718,1177,425,69,47,592,183,38,113,49,1074,865,340,6
1. Københavns Storkreds,3. Indre By Opstillingskreds,101,13,3. Syd,9609,2081,47,277438.8,15.04839213,17.20262254,13.56020398,3.267769799,15.78728276,6.545946508,26.60006244,1.987719846,6955,2654,1137,1438,360,71,96,1022,181,46,170,63,1076,1944,715,12
1. Københavns Storkreds,3. Indre By Opstillingskreds,101,14,3. Øst,11694,2469,46,308148.9,12.38241833,19.98460749,12.72447409,3.685650761,15.03335044,7.670600308,26.34684454,2.172054045,8942,2752,1212,1775,896,153,125,952,439,57,197,89,2249,1331,580,6
1. Københavns Storkreds,4. Sundbyøster Opstillingskreds,101,16,4. Sundbyøster,9815,1449,42.4,218914.7,20.32603158,18.2781457,21.52827305,4.187468161,12.21599592,5.899133979,15.58838512,1.97656648,7379,2436,1486,1125,316,134,90,952,272,38,420,124,1226,1293,510,17
1. Københavns Storkreds,4. Sundbyøster Opstillingskreds,101,17,4. Nord,14466,1519,39.9,191606.7,18.06304438,20.84888705,19.16908613,3.97483755,11.46827043,8.191621734,14.82095949,3.463293239,11153,3313,2163,1750,410,169,129,1372,279,99,516,199,1522,2205,870,27
1. Københavns Storkreds,4. Sundbyøster Opstillingskreds,101,18,4. Syd,8196,1133,43.1,225058.6,18.00878477,17.45973646,26.14690093,4.587603709,13.079551,5.112249878,14.50707662,1.098096633,5979,2217,1450,868,263,81,88,898,136,66,377,122,1010,1008,381,12
1. Københavns Storkreds,4. Sundbyøster Opstillingskreds,101,19,4. Øst,8902,1348,45.4,281972.6,16.23230735,14.25522355,22.64659627,4.639406875,16.09750618,4.527072568,20.04044035,1.561446866,5468,3434,1509,1196,370,96,75,885,207,87,366,107,1308,929,426,4
1. Københavns Storkreds,5. Nørrebro Opstillingskreds,101,20,5. Nørrebro,6555,958,42.4,188970,17.63539283,17.55911518,13.30282227,3.005339436,14.59954233,10.19069413,21.64759725,2.059496568,4881,1674,815,857,101,43,50,709,52,29,122,45,376,1635,562,8
1. Københavns Storkreds,5. Nørrebro Opstillingskreds,101,58,5. Nørrebrohallen,9708,661,37.2,176735.6,17.48042851,22.59991759,13.29831067,3.718582612,13.80304903,8.961681088,17.82035435,2.317676143,7060,2648,927,1686,160,65,69,1015,141,44,173,62,614,2262,821,12
1. Københavns Storkreds,5. Nørrebro Opstillingskreds,101,21,5. Nord,9904,656,35.9,172869.3,13.72172859,28.17043619,11.35904685,3.059369952,11.49030695,12.45961228,17.76050081,1.978998384,7973,1931,985,1698,204,48,66,1126,177,36,160,78,862,2184,814,19
1. Københavns Storkreds,5. Nørrebro Opstillingskreds,101,22,5. Syd,5935,839,43.1,214366,17.65796125,18.51727043,12.63689975,2.965459141,15.45071609,7.632687447,22.99915754,2.139848357,4175,1760,552,978,147,42,36,588,57,32,86,51,393,1609,427,5
1. Københavns Storkreds,5. Nørrebro Opstillingskreds,101,23,5. Øst,6758,626,39.5,211736.6,11.82302456,21.92956496,10.77241788,2.989050015,13.43592779,11.11275525,26.42793726,1.509322285,4873,1885,647,1203,188,54,53,773,125,22,76,37,656,1515,572,7
1. Københavns Storkreds,5. Nørrebro Opstillingskreds,101,24,5. Vest,6940,539,39.2,197317.2,14.52449568,17.33429395,13.6167147,3.443804035,15.18731988,9.250720461,25.25936599,1.383285303,4786,2154,813,1024,105,50,51,918,91,30,125,46,499,1737,550,12
1. Københavns Storkreds,5. Nørrebro Opstillingskreds,101,25,5. Nordvest,10161,751,37.5,186651.1,13.52229111,22.01554965,11.16031887,3.198504084,14.28993209,11.31778368,22.75366598,1.741954532,7834,2327,874,1630,166,69,83,1116,133,30,186,62,671,2608,968,15
1. Københavns Storkreds,6. Bispebjerg Opstillingskreds,101,27,6. Bispebjerg,10453,899,37.8,177576.5,18.06180044,24.01224529,15.93800823,3.520520425,12.64708696,8.533435377,14.96221181,2.324691476,8581,1872,1238,1405,217,132,80,988,170,85,294,95,820,2162,723,14
1. Københavns Storkreds,6. Bispebjerg Opstillingskreds,101,28,6. Nord,7343,1630,47.9,218963.3,22.11630124,15.33433202,22.30695901,3.499931908,14.61255618,4.235326161,15.96077897,1.933814517,5392,1951,1172,819,221,86,72,761,80,72,331,93,576,1087,382,10
1. Københavns Storkreds,6. Bispebjerg Opstillingskreds,101,29,6. Øst,4044,879,47.1,206071.5,22.5024728,16.74085064,24.85163205,3.4371909,13.89713155,4.871414441,11.2512364,2.448071217,3020,1024,762,400,107,57,30,343,60,26,196,71,329,591,181,11
1. Københavns Storkreds,6. Bispebjerg Opstillingskreds,101,30,6. Syd,9512,701,37.2,169619.5,17.75651808,24.67409588,15.83263246,3.469301934,12.63666947,9.661480235,13.88772077,2.081581161,7846,1666,1097,1179,166,105,71,1004,161,63,213,121,683,2068,699,18
1. Københavns Storkreds,6. Bispebjerg Opstillingskreds,101,59,6. Vest,5412,771,42.5,187991.4,25.38802661,17.51662971,20.75018477,3.159645233,12.13968958,6.189948263,12.32446415,2.531411678,3903,1509,688,700,116,57,33,467,57,54,194,63,292,971,323,6
1. Københavns Storkreds,7. Brønshøj Opstillingskreds,101,31,7. Brønshøj,3856,709,46.7,257994.9,17.24585062,14.52282158,21.57676349,3.112033195,18.10165975,4.564315353,19.86514523,1.011410788,2498,1358,666,483,199,61,31,453,80,18,173,41,439,472,200,4
1. Københavns Storkreds,7. Brønshøj Opstillingskreds,101,32,7. Nord,2470,469,44.7,149922.5,40.24291498,17.28744939,23.44129555,2.672064777,5.870445344,2.064777328,3.441295547,4.979757085,1533,937,339,428,19,13,12,112,15,10,106,23,70,363,123,1
1. Københavns Storkreds,7. Brønshøj Opstillingskreds,101,33,7. Syd,7250,1214,44.7,227372,16.55172414,15.71034483,21.48965517,4.565517241,16.55172414,5.489655172,17.94482759,1.696551724,4948,2302,1204,895,268,102,42,824,120,65,329,78,825,937,407,6
1. Københavns Storkreds,7. Brønshøj Opstillingskreds,101,34,7. Øst,8067,1520,46.7,242933.5,18.33395314,14.31759018,22.23875046,3.917193504,16.94558076,4.351059874,18.01165241,1.88421966,5060,3007,1386,1111,255,115,56,967,114,58,347,89,712,1263,450,9
1. Københavns Storkreds,7. Brønshøj Opstillingskreds,101,35,7. Vest,6122,1476,49.2,223729.4,27.0663182,11.58118262,25.85756289,3.364913427,14.04769683,2.744201241,12.83894152,2.499183273,4200,1922,997,756,169,70,33,542,70,32,307,88,487,802,217,11
1. Københavns Storkreds,7. Brønshøj Opstillingskreds,101,36,7. Nordvest,7966,1716,49.4,251949.9,23.91413507,10.18076827,26.76374592,4.167712779,15.15189556,2.623650515,15.70424303,1.493848858,4787,3179,1573,907,299,120,58,843,77,59,522,119,778,932,337,5
1. Københavns Storkreds,7. Brønshøj Opstillingskreds,101,39,7. Katrinedal,4611,772,44.4,234166.9,15.65820863,15.78833225,22.35957493,4.380828454,14.94252874,4.445890262,21.01496422,1.409672522,3383,1228,808,534,200,61,42,487,101,44,168,44,625,541,217,2
1. Københavns Storkreds,7. Brønshøj Opstillingskreds,101,40,7. Kirkebjerg,5166,863,46.5,283883.2,15.52458382,12.89198606,21.97057685,4.432830043,19.12504839,4.142469996,20.96399535,0.948509485,2890,2276,792,682,262,71,50,649,119,66,213,51,645,659,237,7
1. Københavns Storkreds,7. Brønshøj Opstillingskreds,101,41,7. Vanløse,10107,1869,45.8,240567.9,17.50272089,15.25675275,21.4306916,4.610665875,18.42287523,4.580983477,16.78044919,1.414860987,7372,2735,1812,1193,446,142,83,1072,229,78,414,125,1267,1200,389,11
1. Københavns Storkreds,8. Valby Opstillingskreds,101,42,8. Valby,8078,1342,45.1,254038.9,17.54147066,14.58281753,21.78757118,4.320376331,16.25402327,4.691755385,19.47264174,1.349343897,5191,2887,1336,1074,320,111,72,890,187,62,276,84,960,1023,373,5
1. Københavns Storkreds,8. Valby Opstillingskreds,101,43,8. Nord,8811,1103,41.5,225290.2,15.61684258,19.92963341,19.89558506,4.596527068,14.36840313,6.923164227,16.93337873,1.736465781,6611,2200,1390,1102,333,127,73,917,196,60,347,100,1175,1169,481,15
1. Københavns Storkreds,8. Valby Opstillingskreds,101,44,8. Syd,5714,867,43.6,218842.8,24.37871894,15.43577179,25.32376619,4.777738887,12.05810291,3.115155758,12.86314316,2.04760238,3833,1881,1084,740,185,76,44,494,136,44,253,99,679,645,244,10
1. Københavns Storkreds,8. Valby Opstillingskreds,101,46,8. Vest,4845,722,43.4,207727.7,26.41898865,15.500516,25.11867905,4.189886481,12.4251806,3.653250774,10.69143447,2.002063983,3385,1460,857,562,135,55,38,411,64,52,269,89,460,538,187,5
1. Københavns Storkreds,8. Valby Opstillingskreds,101,47,8. Sydøst,4405,762,44.8,217177.5,21.861521,17.18501703,20.13620885,3.859250851,13.73439274,4.494892168,16.07264472,2.656072645,2971,1434,719,552,109,48,23,442,72,21,184,57,416,718,245,4
1. Københavns Storkreds,8. Valby Opstillingskreds,101,48,8. Midt,7177,800,40.5,220521.8,16.55287725,20.85829734,19.64609168,4.91848962,14.26779992,5.127490595,17.30528076,1.323672844,5075,2102,1105,902,260,95,79,817,188,41,244,90,986,955,359,9
1. Københavns Storkreds,9. Vesterbro Opstillingskreds,101,49,9. Vesterbro,7040,507,40.2,220190.2,13.03977273,16.61931818,12.99715909,3.877840909,17.00284091,8.565340909,26.46306818,1.434659091,4674,2366,801,1150,157,51,60,923,92,23,125,45,546,1620,643,4
1. Københavns Storkreds,9. Vesterbro Opstillingskreds,101,50,9. Nord,8122,550,39.5,223473.3,12.66929328,19.12090618,12.49692194,3.866042847,16.22753016,8.766313716,25.2893376,1.563654272,5673,2449,860,1381,237,62,83,945,156,19,131,59,762,1628,648,9
1. Københavns Storkreds,9. Vesterbro Opstillingskreds,101,51,9. Syd,8637,1463,44.9,186198.8,28.11161283,14.84311682,22.86673614,3.670255876,12.57381035,5.094361468,10.36239435,2.477712169,6809,1828,1371,693,143,128,70,689,122,41,395,180,513,1671,508,12
1. Københavns Storkreds,9. Vesterbro Opstillingskreds,101,52,9. Øst,6250,514,40.6,241599.8,12.528,18.288,11.264,3.472,16.224,8.336,28.192,1.696,4299,1951,669,1059,203,55,43,748,132,24,100,25,666,1219,541,8
1. Københavns Storkreds,9. Vesterbro Opstillingskreds,101,53,9. Vest,5992,589,41.8,242135.8,14.68624833,15.5540721,12.58344459,3.654873164,15.87116155,6.875834446,29.27236315,1.50200267,3858,2134,696,1069,206,50,53,695,114,20,104,45,564,1168,457,5
1. Københavns Storkreds,9. Vesterbro Opstillingskreds,101,54,9. Midt,3054,380,39.6,164989.4,22.1021611,25.1146038,16.40471513,2.881466929,9.954158481,9.430255403,10.41257367,3.700065488,2556,498,428,344,71,35,25,306,59,21,106,45,246,576,229,5
1. Københavns Storkreds,9. Vesterbro Opstillingskreds,101,55,9. Sydhavn,7805,371,37.4,288068.1,10.74951954,22.56245996,14.90070468,5.368353619,14.01665599,6.752081999,23.44650865,2.203715567,5686,2119,858,1449,480,106,85,589,485,36,115,79,1872,638,427,6
1. Københavns Storkreds,10. Falkoner Opstillingskreds,147,1,"10. Kreds, Søerne",8272,1885,49.1,320727.5,13.12862669,13.63636364,15.53433269,3.505802708,16.59816248,5.730174081,30.30705996,1.559477756,5218,3054,990,1553,686,80,59,839,209,55,213,50,1221,920,434,1
1. Københavns Storkreds,10. Falkoner Opstillingskreds,147,2,"10. Kreds, Ny Hollænder",8433,2199,50.3,326622,12.7119649,12.97284478,16.74374481,3.723467331,17.36036998,5.466619234,29.47942606,1.541562908,5751,2682,1089,1379,839,114,56,824,231,55,217,54,1503,856,391,5
1. Københavns Storkreds,10. Falkoner Opstillingskreds,147,3,"10. Kreds, Bülowsvej",10737,2130,46.3,274714.1,12.14491944,14.79929217,16.14044891,4.200428425,16.63406911,6.994504983,27.67067151,1.415665456,7298,3439,1407,1839,778,120,96,1089,266,52,306,68,1692,1280,546,5
1. Københavns Storkreds,10. Falkoner Opstillingskreds,147,4,"10. Kreds, Duevej",10085,2103,46.3,283705.7,13.64402578,16.53941497,15.98413485,3.926623699,15.82548339,5.919682697,26.41546852,1.745166088,6953,3132,1338,1725,841,121,62,929,229,63,319,77,1637,1103,475,13
1. Københavns Storkreds,11. Slots Opstillingskreds,147,5,"11. Kreds, Lindevang",10040,2156,47.2,252594.5,18.89442231,15.27888446,20.38844622,4.243027888,13.7250996,5.458167331,19.72111554,2.290836653,7186,2854,1522,1310,750,128,70,872,267,75,389,123,1453,1072,418,23
1. Københavns Storkreds,11. Slots Opstillingskreds,147,6,"11. Kreds, Søndermark",9022,2901,51.8,265185.3,16.54843715,14.69740634,24.15207271,4.588782975,15.68388384,4.223010419,18.10019951,2.006207049,6794,2228,1401,1123,860,108,59,736,197,82,430,78,1417,877,314,5
1. Københavns Storkreds,11. Slots Opstillingskreds,147,7,"11. Kreds, Rådhuset",9685,2456,49.2,271864.4,15.42591637,14.65152297,19.31853382,3.91326794,16.48941662,5.255549819,22.94269489,2.003097574,7103,2582,1329,1391,896,139,87,797,246,64,319,95,1551,1003,368,11
1. Københavns Storkreds,11. Slots Opstillingskreds,147,8,"11. Kreds, Nyelandsvej",7987,1154,42.9,238710.4,11.49367723,16.7897834,17.00262927,4.882934769,15.82571679,8.100663578,24.71516214,1.189432828,5961,2026,1109,1260,570,96,76,789,252,42,210,73,1341,908,374,7
1. Københavns Storkreds,12. Tårnby Opstillingskreds,155,1,Dragør Skole,3813,1384,57.1,352887.9,18.33202203,10.01835825,32.15316024,5.061631261,16.49619722,1.83582481,14.63414634,1.468659848,2327,1486,618,408,417,63,36,208,80,18,234,44,1049,156,57,0
1. Københavns Storkreds,12. Tårnby Opstillingskreds,155,4,Hollænderhallen,6420,1972,54.1,305710.1,19.57943925,8.847352025,35.49844237,6.588785047,15.63862928,1.728971963,10.96573209,1.152647975,3647,2773,1165,481,556,151,58,295,168,33,536,83,1755,248,141,5
1. Københavns Storkreds,12. Tårnby Opstillingskreds,185,1,Vestamager,4545,968,50,272336.6,25.52255226,7.172717272,43.01430143,5.324532453,11.30913091,0.99009901,5.896589659,0.770077008,2301,2244,1053,229,193,123,49,262,81,25,584,92,887,181,95,2
1. Københavns Storkreds,12. Tårnby Opstillingskreds,185,2,Pilegården,5086,1195,51.4,292662.1,21.47070389,7.648446716,39.97247346,6.606370429,12.85882816,1.258356272,9.378686591,0.806134487,2564,2522,1253,366,268,96,51,320,88,47,460,81,1088,255,86,1
1. Københavns Storkreds,12. Tårnby Opstillingskreds,185,3,Tårnby,4774,1500,53.8,237716.9,32.00670297,6.661080855,38.91914537,3.623795559,10.82949309,1.277754504,5.676581483,1.005446167,3188,1586,1290,289,150,93,41,333,61,22,519,99,617,265,84,4
1. Københavns Storkreds,12. Tårnby Opstillingskreds,185,4,Korsvejen,4066,1041,51.4,249045,27.71765863,7.968519429,38.09640925,4.525332022,11.0427939,1.352680767,8.042302017,1.254303984,2449,1617,1049,259,149,69,27,311,51,19,353,81,593,240,86,6
1. Københavns Storkreds,12. Tårnby Opstillingskreds,185,5,Løjtegården,3653,805,50.6,277546.4,23.21379688,8.048179578,40.29564741,5.693950178,13.79687928,1.14973994,6.871064878,0.930741856,1807,1846,875,254,173,78,46,237,58,30,318,65,634,212,83,3
1. Københavns Storkreds,12. Tårnby Opstillingskreds,185,6,Kastrup,8362,2286,51.7,216634.1,30.02870127,8.765845492,40.97105956,3.958383162,9.78234872,1.42310452,3.623535039,1.447022243,5955,2407,2344,375,269,167,69,538,100,45,867,171,915,482,177,10
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,1,Jægersborg,5389,1637,54.3,470972.4,13.58322509,11.24512897,17.29448877,4.305065875,16.27389126,3.41436259,32.26943774,1.614399703,3082,2307,507,659,1130,101,38,286,253,39,169,45,1252,208,124,14
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,2,Munkegård,4478,1001,50,320984.4,14.02411791,11.14336757,21.50513622,4.667262171,17.3514962,3.037070121,27.2219741,1.049575703,2645,1833,689,618,532,80,28,416,112,43,184,43,753,303,122,10
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,3,Rådhuset,4796,1353,53.9,479363.6,13.0942452,10.65471226,13.05254379,4.83736447,17.47289408,3.252710592,35.77981651,1.855713094,2572,2224,456,696,960,80,23,272,224,36,127,45,1012,194,115,10
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,4,Bakkegård,5170,1222,50.1,289580.3,21.12185687,11.5860735,23.34622824,4.448742747,17.05996132,2.901353965,18.18181818,1.353965184,3300,1870,768,585,635,103,41,311,142,46,259,96,764,283,159,12
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,5,Dyssegård,5023,1032,49.6,398848.5,12.50248855,11.82560223,17.77822019,4.73820426,17.61895282,3.4640653,30.81823611,1.25423054,2503,2520,546,796,872,106,48,312,202,42,145,54,1028,226,116,8
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,6,Maglegård,5629,1862,55.7,616945.1,13.34162373,11.83158643,14.28317641,4.352460473,16.93018298,3.819506129,33.73600995,1.705453899,3270,2359,462,787,1133,129,33,264,271,41,139,44,1488,234,122,10
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,7,Hellerup,6106,2030,54.8,474216.1,14.36292172,12.88896168,17.78578447,4.307238782,17.32721913,3.603013429,27.41565673,2.309204062,3973,2133,534,831,1014,116,47,332,271,67,181,52,1463,321,189,13
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,8,Ordrup,4377,1460,55.3,417143.1,13.91363948,11.65181631,18.5972127,5.59744117,16.28969614,3.655471784,28.32990633,1.964816084,2774,1603,417,514,905,87,45,213,183,30,146,40,1039,175,115,11
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,9,Skovshoved,5074,1461,53.7,596755.4,15.25423729,12.57390619,15.13598739,4.493496255,15.27394561,3.961371699,31.1194324,2.187623177,2901,2173,397,605,1067,86,38,170,280,37,107,33,1395,185,133,9
2. Københavns Omegns Storkreds,1. Gentofte Opstillingskreds,157,10,Skovgård,4628,1613,55.9,490129.7,13.69922213,11.94900605,19.27398444,4.55920484,17.52376837,3.262748487,27.29040622,2.441659464,3138,1490,387,495,978,107,37,203,200,34,160,49,1106,171,91,9
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,1,Lyngby Midt,4892,1246,49.4,273767,16.9255928,13.14390842,25.10220769,5.233033524,16.25102208,3.720359771,17.94766966,1.676206051,3622,1270,786,556,545,103,40,383,179,44,191,65,866,251,133,15
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,2,Lindegård,4397,1268,51.8,255635,22.31066636,12.39481465,28.54218786,3.866272458,14.53263589,3.070275188,13.62292472,1.660222879,3054,1343,914,408,360,85,29,360,103,37,286,63,552,280,128,15
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,3,Trongård,4696,1176,47.9,298299.6,15.52385009,22.59369676,19.61243612,3.747870528,13.79897785,4.897785349,17.82367973,2.001703578,3269,1427,660,600,588,80,45,312,207,24,190,51,766,236,168,7
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,4,Engelsborg,5037,1319,51.3,338785.2,14.19495732,10.99861028,22.37442922,4.784594004,19.55529085,3.613261862,23.50605519,0.972801271,3219,1818,736,676,684,84,34,365,199,45,179,38,992,251,138,10
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,5,Taarbæk,1084,377,56.7,577646.5,17.34317343,10.97785978,18.63468635,4.243542435,15.95940959,3.32103321,28.59778598,0.922509225,658,426,110,180,167,16,16,84,30,6,32,15,222,81,41,1
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,6,Virum,4720,1112,52.6,467552.8,11.61016949,7.711864407,13.49576271,4.661016949,18.96186441,3.050847458,39.38559322,1.122881356,2222,2498,545,815,961,86,18,302,191,25,110,26,1006,211,108,5
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,7,Hummeltofte,3532,987,53.6,388881.2,13.05209513,7.587768969,19.33748584,4.558323896,20.38505096,1.953567384,32.27633069,0.849377123,1855,1677,555,603,519,66,30,329,90,27,111,27,693,152,76,7
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,8,Fuglsanggård,3892,1136,53,284545,17.78006166,9.737923947,25.23124358,4.804727646,17.4717369,2.929085303,20.78622816,1.258992806,2468,1424,678,438,489,57,34,339,95,24,183,46,650,210,108,7
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,9,Kongevej,2154,567,53.8,393380.7,11.83844011,7.706592386,16.1095636,4.178272981,21.12349118,3.38904364,35.09749304,0.557103064,1093,1061,367,374,314,39,20,203,63,23,68,18,378,104,70,4
2. Københavns Omegns Storkreds,2. Lyngby Opstillingskreds,173,10,Lundtofte,4477,1431,54.9,310460.1,18.20415457,9.023899933,23.49787804,4.489613581,17.31069913,2.479338843,23.69890552,1.295510386,2889,1588,780,585,582,76,34,380,87,27,168,64,651,275,122,9
2. Københavns Omegns Storkreds,3. Gladsaxe Opstillingskreds,159,1,Bagsværd,5138,1557,53.4,306375.3,19.50175165,9.069676917,26.23588945,4.165044764,17.18567536,2.004671078,19.85208252,1.985208252,3418,1720,940,559,457,91,36,423,134,43,279,76,840,336,132,8
2. Københavns Omegns Storkreds,3. Gladsaxe Opstillingskreds,159,2,Hovedbiblioteket,6203,1475,49.3,241189.2,20.55457037,11.97807512,31.2107045,4.610672255,15.92777688,2.708366919,11.68789296,1.321940996,4310,1893,1434,548,281,107,36,682,133,46,362,91,793,437,181,12
2. Københavns Omegns Storkreds,3. Gladsaxe Opstillingskreds,159,3,Egegård,5916,1324,50,250912.1,25.16903313,8.637592968,34.48275862,4.699121028,14.73968898,1.791751183,9.330628803,1.149425287,3327,2589,1318,448,298,127,54,513,102,39,451,107,826,382,133,11
2. Københavns Omegns Storkreds,3. Gladsaxe Opstillingskreds,159,4,Grønnemose,6432,1557,50.4,253414.5,23.35199005,9.84141791,27.20771144,3.949004975,16.35572139,1.77238806,16.04477612,1.47699005,3736,2696,1376,827,224,76,36,677,80,57,359,80,637,630,256,12
2. Københavns Omegns Storkreds,3. Gladsaxe Opstillingskreds,159,5,Mørkhøj,6419,1489,49.6,239067.7,26.670821,8.848730332,33.18273874,4.829412681,14.20782053,1.666926313,9.129147842,1.464402555,3848,2571,1553,530,262,101,47,587,105,42,483,85,758,451,138,10
2. Københavns Omegns Storkreds,3. Gladsaxe Opstillingskreds,159,6,Stengård,5952,1302,48.9,282635.7,16.02822581,13.96169355,23.35349462,5.225134409,17.69153226,3.309811828,19.11962366,1.310483871,3416,2536,1228,815,419,73,38,634,150,49,252,57,923,402,221,8
2. Københavns Omegns Storkreds,3. Gladsaxe Opstillingskreds,159,7,Søborg,3899,878,49.1,277920.9,16.79917928,11.9004873,26.2631444,4.513977943,17.74814055,2.641703001,19.08181585,1.05155168,2444,1455,739,488,232,51,36,474,103,34,200,45,542,316,128,7
2. Københavns Omegns Storkreds,3. Gladsaxe Opstillingskreds,159,8,Vadgård,4354,1008,50.1,252321.7,22.23242995,9.095084979,32.56775379,5.512172715,15.52595315,2.112999541,11.48369316,1.469912724,2677,1677,966,404,257,70,38,381,108,31,288,77,631,289,90,22
2. Københavns Omegns Storkreds,3. Gladsaxe Opstillingskreds,159,9,Værebro,2375,550,49.7,262918,27.91578947,9.515789474,27.36842105,4.336842105,13.09473684,1.347368421,13.93684211,2.484210526,1434,941,423,250,113,41,15,213,50,13,113,35,310,181,60,3
